,tweet_id,user_id,screen_name,text,time,topic
0,9.66565E+17,35039490,MarkDice,This kid and another also armed themselves with a fire extinguisher and a two-by-four and planned on beating down the gunman if he came through the door to the classroom they were hiding in.  Some brave and smart kids.,2/22/2018 6:48,colton
1,9.66551E+17,8.61361E+17,OkmakeReady,FKN amazing!!  Thank God we still have kids with intelligence not just feelings!,2/22/2018 5:50,colton
2,9.66566E+17,8.22795E+17,The_Smirker,,2/22/2018 6:53,colton
3,9.6655E+17,9.59308E+17,Republikid1,"CNN is fake news, you heard it from this kid",2/22/2018 5:49,colton
4,9.66555E+17,7.1753E+17,Imaginer77,Nothing to see here folks just more satanic bs from the dark side,2/22/2018 6:08,colton
5,9.66566E+17,874179554,JijiRotelli,"Not surprised...I would have liked to hear him, not a scripted #DavidHogg & company!! @CNN #FakeNewsMedia #StudentsStandUp",2/22/2018 6:49,colton
6,9.66562E+17,22274439,Speedy62269,Again - HMMMM,2/22/2018 6:33,colton
7,9.66552E+17,338425614,anthonyabatemar,@cnn Fake News,2/22/2018 5:54,colton
8,9.66551E+17,285502242,ThePeanutFiends,People called me heartless for having the audacity to claim the kids interviewed by CNN seemed to be reading off a script.,2/22/2018 5:49,colton
9,9.6656E+17,2796585116,RickMartlnez,This kid is hope for the future.,2/22/2018 6:27,colton
10,9.6655E+17,835918021,contrerasa20,@benshapiro MUST WATCH,2/22/2018 5:49,colton
11,9.66743E+17,8.83855E+17,pbs0033,CNN should be ashamed of themselves these kids have been through so much to not let him speak his mind and his thoughts and to dictate what he is to say is not America freedom of speech you are supposed to be reporters not dictators we are in America freedom of speech ,2/22/2018 18:36,colton
12,9.66573E+17,930459372,TechQn,"What do you have to say for yourself @CNN?
Dont you think your liberal FAKE NEWS bias has gone to far?
@FoxNews @seanhannity @TuckerCarlson @IngrahamAngle this is something you need to look into",2/22/2018 7:20,colton
13,9.66564E+17,8.94456E+17,Maruchandoll,Finally an actual student's point of view,2/22/2018 6:43,colton
14,9.66557E+17,2223600122,vin50c,"CNN= 
Counterfeit News Network",2/22/2018 6:15,colton
15,9.66552E+17,9.50499E+17,DBHnBuckhead2,"CNN is a total Dumpster Fire...
#CNNStalkers #CNNDoxing",2/22/2018 5:55,colton
16,9.66564E+17,108393023,roselinebandre,"@CNN is at it again, no surprises! #CNNisPropaganda #CNNisFakeNews #CNNCredibilityCrisis #CNNTownHall",2/22/2018 6:43,colton
17,9.66555E+17,7.63878E+17,MomSfbr,Get him on @seanhannity,2/22/2018 6:06,colton
18,9.66553E+17,7.91089E+17,Sick_of_Bias,@WPLGLocal10 should be commended for covering this young man's story! #RealNews #MAGA @realDonaldTrump,2/22/2018 5:59,colton
19,9.6656E+17,64480526,bixon032,Ohh but is he smarter than clock boy?  ,2/22/2018 6:27,colton
20,9.66785E+17,8.48301E+17,rebarnick9,Communist News Network,2/22/2018 21:22,colton
21,9.66661E+17,8.24451E+17,FarmDogMN,CNN is proven to be fake news over and over . This is just another example of the agenda they are pushing for the liberal Democrats.,2/22/2018 13:07,colton
22,9.66578E+17,8.02028E+17,Jwdny_1118s,Not surprised #CNNisPropaganda,2/22/2018 7:37,colton
23,9.66558E+17,2741724289,jamie_kidwell,CNN will get the results they are wanting. Gun shops will no longer be selling AR-15’s as of Friday. Because they’re going to sell out tomorrow!,2/22/2018 6:20,colton
